"","DEPARTURES_SCHEDULED","DEPARTURES_PERFORMED","PAYLOAD","SEATS","PASSENGERS","FREIGHT","MAIL","DISTANCE","RAMP_TO_RAMP","AIR_TIME","UNIQUE_CARRIER","AIRLINE_ID","UNIQUE_CARRIER_NAME","UNIQUE_CARRIER_ENTITY","REGION","CARRIER","CARRIER_NAME","CARRIER_GROUP","CARRIER_GROUP_NEW","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_COUNTRY","ORIGIN_COUNTRY_NAME","ORIGIN_WAC","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","DEST_CITY_NAME","DEST_COUNTRY","DEST_COUNTRY_NAME","DEST_WAC","AIRCRAFT_GROUP","AIRCRAFT_TYPE","AIRCRAFT_CONFIG","YEAR","QUARTER","MONTH","DISTANCE_GROUP","CLASS"
"1",0,4,998000,0,0,353070,278021,3657,1927,1796,"KAQ",20370,"Kalitta Air LLC","16683","I","KAQ","Kalitta Air LLC",2,2,10292,1029201,30292,"AMS","Amsterdam, Netherlands","NL","Netherlands",461,11618,1161801,31703,"EWR","Newark, NJ","US","United States",21,8,819,2,2011,1,1,8,"P"
"2",54,54,214920,1026,678,0,0,220,3401,2741,"3M",20401,"Silver Airways","06888","D","3M","Gulfstream Int",1,6,11534,1153403,31534,"ELH","North Eleuthera, The Bahamas","BS","The Bahamas",204,11697,1169703,32467,"FLL","Fort Lauderdale, FL","US","United States",33,4,405,1,2011,3,7,1,"F"
"3",0,14,383064,1764,1431,0,0,1133,0,0,"PY",19565,"Surinam Airways Limited","9379A","I","PY","Surinam Airways Limited",0,0,13303,1330303,32467,"MIA","Miami, FL","US","United States",33,10411,1041103,30411,"AUA","Aruba, Aruba","AW","Aruba",277,6,619,1,2011,3,8,3,"F"
"4",0,1,30000,150,90,0,0,1212,185,150,"XP",20207,"XTRA Airways","06144","D","XP","Casino Express",1,1,12266,1226602,31453,"IAH","Houston, TX","US","United States",74,15192,1519201,35192,"TGU","Tegucigalpa, Honduras","HN","Honduras",131,6,617,1,2011,1,3,3,"L"
"5",0,3,843288,0,0,24780,0,1686,728,602,"5Y",20007,"Atlas Air Inc.","16087","I","5Y","Atlas Air Inc.",3,3,13252,1325202,33252,"MEX","Mexico City, Mexico","MX","Mexico",148,13930,1393002,30977,"ORD","Chicago, IL","US","United States",41,8,819,2,2011,4,11,4,"P"
"6",0,3,111494,480,353,3529,0,1686,0,0,"AM",19534,"Aeromexico","9148B","I","AM","Aeromexico",0,0,13252,1325201,33252,"MEX","Mexico City, Mexico","MX","Mexico",148,13930,1393001,30977,"ORD","Chicago, IL","US","United States",41,6,614,1,2011,2,6,4,"F"
"7",0,2,60000,300,281,0,0,1212,349,325,"XP",20207,"XTRA Airways","06144","D","XP","Casino Express",1,1,12266,1226602,31453,"IAH","Houston, TX","US","United States",74,15192,1519201,35192,"TGU","Tegucigalpa, Honduras","HN","Honduras",131,6,617,1,2011,2,4,3,"L"
"8",0,1,118800,0,0,72640,0,1894,0,0,"LA",19552,"Lan-Chile Airlines","9324B","I","LA","Lan-Chile Airlines",0,0,16232,1623202,36232,"YWG","Winnipeg, Canada","CA","Canada",926,13303,1330303,32467,"MIA","Miami, FL","US","United States",33,6,626,2,2011,3,9,4,"G"
"9",0,3,726000,0,0,0,0,3848,1510,1434,"9S",20190,"Southern Air Inc.","16841","I","9S","Southern Air Inc.",2,2,12957,1295703,32957,"LGG","Liege, Belgium","BE","Belgium",409,11375,1137502,31375,"DOV","Dover, DE","US","United States",31,8,817,2,2011,3,7,8,"P"
"10",0,8,297792,1512,1410,0,0,1943,0,0,"WG",21231,"Sunwing Airlines Inc.","71041","I","WG","Sunwing Airlines Inc.",0,0,12889,1288903,32211,"LAS","Las Vegas, NV","US","United States",85,16271,1627102,36106,"YYZ","Toronto, Canada","CA","Canada",936,6,614,1,2011,3,8,4,"F"
