"","DEPARTURES_SCHEDULED","DEPARTURES_PERFORMED","PAYLOAD","SEATS","PASSENGERS","FREIGHT","MAIL","DISTANCE","RAMP_TO_RAMP","AIR_TIME","UNIQUE_CARRIER","AIRLINE_ID","UNIQUE_CARRIER_NAME","UNIQUE_CARRIER_ENTITY","REGION","CARRIER","CARRIER_NAME","CARRIER_GROUP","CARRIER_GROUP_NEW","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_COUNTRY","ORIGIN_COUNTRY_NAME","ORIGIN_WAC","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","DEST_CITY_NAME","DEST_COUNTRY","DEST_COUNTRY_NAME","DEST_WAC","AIRCRAFT_GROUP","AIRCRAFT_TYPE","AIRCRAFT_CONFIG","YEAR","QUARTER","MONTH","DISTANCE_GROUP","CLASS"
"11",68,68,2483416,10840,10077,5852,0,811,8972,7222,"CO",19704,"Continental Air Lines Inc.","10220","L","CO","Continental Air Lines Inc.",3,3,12266,1226603,31453,"IAH","Houston, TX","US","United States",74,11032,1103201,31032,"CUN","Cancun, Mexico","MX","Mexico",148,6,614,1,2011,4,11,2,"F"
"12",0,9,730323,2961,1523,41111,0,7561,0,0,"PK",19563,"Pakistan International Airlines","9764A","I","PK","Pakistan International Airlines",0,0,12681,1268101,32681,"KHI","Karachi, Pakistan","PK","Pakistan",764,13930,1393001,30977,"ORD","Chicago, IL","US","United States",41,6,627,1,2011,2,4,16,"F"
"13",1,1,30038,124,64,0,150,2562,327,306,"CO",19704,"Continental Air Lines Inc.","10220","L","CO","Continental Air Lines Inc.",3,3,12266,1226602,31453,"IAH","Houston, TX","US","United States",74,14210,1421001,34210,"POS","Port of Spain, Trinidad and Tobago","TT","Trinidad and Tobago",280,6,612,1,2011,1,2,6,"F"
"14",15,15,853199,0,0,381066,0,347,1206,852,"FX",20107,"Federal Express Corporation","06200","D","FX","Federal Express Corporation",3,3,16271,1627101,36106,"YYZ","Toronto, Canada","CA","Canada",936,11618,1161801,31703,"EWR","Newark, NJ","US","United States",21,7,715,2,2011,1,2,1,"G"
"15",30,30,2421000,6601,5323,270045,0,3831,13650,12592,"AA",19805,"American Airlines Inc.","10049","A","AA","American Airlines Inc.",3,3,12478,1247802,31703,"JFK","New York, NY","US","United States",22,10517,1051702,30517,"BCN","Barcelona, Spain","ES","Spain",482,6,626,1,2011,4,11,8,"F"
"16",3,3,233990,627,596,9269,0,5036,1666,1591,"DL",19790,"Delta Air Lines Inc.","10261","A","DL","Delta Air Lines Inc.",3,3,10397,1039704,30397,"ATL","Atlanta, GA","US","United States",34,11651,1165102,31000,"FCO","Rome, Italy","IT","Italy",450,6,626,1,2011,4,10,11,"F"
"17",0,1,3000,14,4,0,0,1534,390,374,"0WQ",21352,"Avjet Corporation","01150","D","0WQ","Avjet Corporation",1,1,12892,1289203,32575,"LAX","Los Angeles, CA","US","United States",91,15246,1524601,33252,"TLC","Toluca, Mexico","MX","Mexico",148,6,641,1,2011,4,11,4,"L"
"18",0,1,78530,208,172,0,187,3667,549,485,"DL",19790,"Delta Air Lines Inc.","10261","A","DL","Delta Air Lines Inc.",3,3,10752,1075202,30752,"BRU","Brussels, Belgium","BE","Belgium",409,12478,1247802,31703,"JFK","New York, NY","US","United States",22,6,626,1,2011,3,7,8,"F"
"19",31,31,1067826,3906,1873,79632,0,1270,6035,5203,"DL",19790,"Delta Air Lines Inc.","10260","L","DL","Delta Air Lines Inc.",3,3,14681,1468103,34681,"SAP","San Pedro Sula, Honduras","HN","Honduras",131,10397,1039704,30397,"ATL","Atlanta, GA","US","United States",34,6,698,1,2011,4,10,3,"F"
"20",0,13,508856,1950,934,78439,0,2970,0,0,"2K",21507,"Aerolineas Galapagos S A Aerogal","71103","I","2K","Aerolineas Galapagos S A Aerogal",0,0,12051,1205102,32051,"GYE","Guayaquil, Ecuador","EC","Ecuador",337,12478,1247802,31703,"JFK","New York, NY","US","United States",22,6,694,1,2011,4,12,6,"F"
"21",31,27,882900,3348,3027,13715,218,2473,9737,8480,"DL",19790,"Delta Air Lines Inc.","10260","L","DL","Delta Air Lines Inc.",3,3,10711,1071102,30711,"BOG","Bogota, Colombia","CO","Colombia",327,12478,1247802,31703,"JFK","New York, NY","US","United States",22,6,612,1,2011,3,8,5,"F"
"22",93,87,1087500,4350,2644,32,16,333,8318,4905,"9E",20363,"Endeavor Air Inc.","07024","D","9E","Pinnacle Airlines Inc.",2,2,12478,1247802,31703,"JFK","New York, NY","US","United States",22,16217,1621702,36083,"YUL","Montreal, Canada","CA","Canada",941,6,629,1,2011,4,10,1,"F"
"23",0,42,10801560,0,0,7536681,0,3433,0,0,"KZ",19830,"Nippon Cargo Airlines","9736D","I","KZ","Nippon Cargo Airlines",0,0,13744,1374402,32169,"NRT","Tokyo, Japan","JP","Japan",736,10299,1029903,30299,"ANC","Anchorage, AK","US","United States",1,8,820,2,2011,3,7,7,"G"
"24",0,1,18500,0,0,0,0,180,48,36,"GFQ",20166,"Gulf And Caribbean Cargo","06565","D","GFQ","Gulf And Caribbean Cargo",1,4,16078,1607802,36078,"YHM","Hamilton, Canada","CA","Canada",936,14275,1427502,34275,"PTK","Pontiac, MI","US","United States",43,4,430,2,2011,3,9,1,"P"
"25",0,1,44000,0,0,25758,0,1133,0,0,"AD (1)",20214,"Avia Leasing Company","9475F","I","AD","Avia Leasing Company",0,0,13303,1330303,32467,"MIA","Miami, FL","US","United States",33,10411,1041103,30411,"AUA","Aruba, Aruba","AW","Aruba",277,5,507,2,2011,4,10,3,"P"
"26",22,22,5594645,0,0,1837099,79773,3799,10696,10218,"5X",19917,"United Parcel Service","16913","P","5X","United Parcel Service",3,3,10299,1029902,30299,"ANC","Anchorage, AK","US","United States",1,12277,1227701,31945,"ICN","Seoul, South Korea","KR","South Korea",778,8,819,2,2011,2,5,8,"G"
"27",58,57,703950,2850,1716,0,0,655,6320,5016,"MQ",20398,"Envoy Air","06820","D","MQ","American Eagle Airlines Inc.",3,3,13930,1393001,30977,"ORD","Chicago, IL","US","United States",41,16149,1614901,36149,"YOW","Ottawa, Canada","CA","Canada",936,6,675,1,2011,1,3,2,"F"
"28",15,14,551414,2232,2013,2705,0,1971,3602,3252,"CO",19704,"Continental Air Lines Inc.","01220","D","CO","Continental Air Lines Inc.",3,3,16229,1622901,31215,"YVR","Vancouver, Canada","CA","Canada",906,12266,1226602,31453,"IAH","Houston, TX","US","United States",74,6,614,1,2011,1,2,4,"F"
"29",0,2,85000,346,229,0,0,713,235,195,"GL",20402,"Miami Air International","16690","I","GL","Miami Air International",2,2,14012,1401203,34012,"PAP","Port-au-Prince, Haiti","HT","Haiti",238,13303,1330303,32467,"MIA","Miami, FL","US","United States",33,6,614,1,2011,4,12,2,"L"
"30",16,16,632000,2400,1580,0,0,1166,2980,2534,"US",20355,"US Airways Inc.","12041","L","US","US Airways Inc.",3,3,13180,1318001,33180,"MBJ","Montego Bay, Jamaica","JM","Jamaica",243,11057,1105702,31057,"CLT","Charlotte, NC","US","United States",36,6,694,1,2011,1,2,3,"F"
"31",30,30,870000,4350,3591,0,0,1522,6851,5981,"NK",20416,"Spirit Air Lines","16831","L","NK","Spirit Air Lines",2,2,10711,1071101,30711,"BOG","Bogota, Colombia","CO","Colombia",327,11697,1169702,32467,"FLL","Fort Lauderdale, FL","US","United States",33,6,698,1,2011,1,3,4,"F"
"32",28,26,885404,3276,2003,3839,0,1820,6305,5527,"DL",19790,"Delta Air Lines Inc.","10260","L","DL","Delta Air Lines Inc.",3,3,13252,1325201,33252,"MEX","Mexico City, Mexico","MX","Mexico",148,11433,1143301,31295,"DTW","Detroit, MI","US","United States",43,6,698,1,2011,1,2,4,"F"
"33",14,14,1386946,0,0,893383,0,848,1963,1707,"ABX",20453,"ABX Air Inc","11009","A","ABX","ABX Air Inc",2,2,14739,1473901,32105,"SDQ","Santo Domingo, Dominican Republic","DO","Dominican Republic",224,13303,1330302,32467,"MIA","Miami, FL","US","United States",33,6,625,2,2011,1,3,2,"G"
"34",0,18,1768050,5400,4847,388894,0,4733,0,0,"AB",21361,"Air Berlin PLC and CO","71074","I","AB","Air Berlin PLC and CO",0,0,11444,1144404,30970,"DUS","Dusseldorf, Germany","DE","Germany",429,13303,1330303,32467,"MIA","Miami, FL","US","United States",33,6,696,1,2011,4,10,10,"F"
"35",0,31,3755842,10385,6599,987642,0,6703,0,0,"QR",21262,"Qatar Airways (Q.C.S.C)","71049","I","QR","Qatar Airways (Q.C.S.C)",0,0,11369,1136902,31369,"DOH","Doha, Qatar","QA","Qatar",664,12478,1247802,31703,"JFK","New York, NY","US","United States",22,6,637,1,2011,4,10,14,"F"
"36",30,30,379380,1500,1074,0,0,840,4588,4103,"XE",20374,"ExpressJet Airlines Inc. (1)","16187","L","XE","ExpressJet Airlines Inc.",2,2,15632,1563201,35632,"VSA","Villahermosa, Mexico","MX","Mexico",148,12266,1226602,31453,"IAH","Houston, TX","US","United States",74,6,675,1,2011,1,2,2,"F"
"37",0,2,98380,348,260,0,0,1384,0,0,"AC",19531,"Air Canada","9900A","I","AC","Air Canada",0,0,16217,1621702,36083,"YUL","Montreal, Canada","CA","Canada",941,11697,1169703,32467,"FLL","Fort Lauderdale, FL","US","United States",33,6,699,1,2011,3,9,3,"F"
"38",6,5,242971,875,792,0,0,1958,1399,1284,"CO",19704,"Continental Air Lines Inc.","10220","L","CO","Continental Air Lines Inc.",3,3,10411,1041102,30411,"AUA","Aruba, Aruba","AW","Aruba",277,11618,1161801,31703,"EWR","Newark, NJ","US","United States",21,6,622,1,2011,1,2,4,"F"
"39",0,1,30000,0,0,3749,0,181,56,38,"U7",20447,"USA Jet Airlines Inc.","16917","I","U7","USA Jet Airlines Inc.",2,2,16091,1609101,31295,"YIP","Detroit, MI","US","United States",43,16097,1609702,36097,"YKF","Kitchener, Canada","CA","Canada",936,6,640,2,2011,1,3,1,"P"
"40",29,29,1480300,5104,4482,0,0,1706,7458,6663,"US",20355,"US Airways Inc.","12041","L","US","US Airways Inc.",3,3,10411,1041102,30411,"AUA","Aruba, Aruba","AW","Aruba",277,11057,1105702,31057,"CLT","Charlotte, NC","US","United States",36,6,622,1,2011,2,5,4,"F"
"41",0,18,514840,1782,1126,4429,0,1366,0,0,"5D",20250,"Aerolitoral","9148W","I","5D","Aerolitoral",0,0,12892,1289203,32575,"LAX","Los Angeles, CA","US","United States",91,10638,1063802,30638,"BJX","Leon/Guanajuato, Mexico","MX","Mexico",148,6,678,1,2011,4,10,3,"F"
"42",0,36,3894898,11448,9075,523816,0,3644,0,0,"KL",19551,"Klm Royal Dutch Airlines","9461A","I","KL","Klm Royal Dutch Airlines",0,0,12478,1247801,31703,"JFK","New York, NY","US","United States",22,10292,1029201,30292,"AMS","Amsterdam, Netherlands","NL","Netherlands",461,6,627,1,2011,1,1,8,"F"
"43",0,1,5600,0,0,0,0,440,90,80,"U7",20447,"USA Jet Airlines Inc.","16917","I","U7","USA Jet Airlines Inc.",2,2,10210,1021002,30210,"AGU","Aguascalientes, Mexico","MX","Mexico",148,13061,1306104,33038,"LRD","Laredo, TX","US","United States",74,6,681,2,2011,4,11,1,"P"
"44",7,7,301622,1120,702,0,0,837,961,865,"CO",19704,"Continental Air Lines Inc.","10220","L","CO","Continental Air Lines Inc.",3,3,11244,1124402,31244,"CZM","Cozumel, Mexico","MX","Mexico",148,12266,1226603,31453,"IAH","Houston, TX","US","United States",74,6,614,1,2011,3,9,2,"F"
"45",2,5,16500,40,25,0,0,211,396,348,"04Q",21080,"Tradewind Aviation","01126","D","04Q","Tradewind Aviation",1,6,14692,1469203,34692,"SBH","Saint Barthelemy, Saint Barthelemy","BL","Saint Barthelemy",237,14843,1484303,34819,"SJU","San Juan, PR","US","United States",3,4,416,1,2011,4,10,1,"F"
"46",31,31,1313780,4867,4641,350,0,802,3693,3278,"AS",19930,"Alaska Airlines Inc.","16031","L","AS","Alaska Airlines Inc.",3,3,14832,1483202,34832,"SJD","San Jose del Cabo, Mexico","MX","Mexico",148,14679,1467903,33570,"SAN","San Diego, CA","US","United States",91,6,614,1,2011,3,7,2,"F"
"47",0,23,5940000,0,0,3513622,0,5659,0,0,"OZ",20277,"Asiana Airlines Inc.","9778B","I","OZ","Asiana Airlines Inc.",0,0,14771,1477101,32457,"SFO","San Francisco, CA","US","United States",91,12277,1227702,31945,"ICN","Seoul, South Korea","KR","South Korea",778,8,820,2,2011,3,7,12,"G"
"48",1,1,42800,172,144,0,0,1895,244,225,"AS",19930,"Alaska Airlines Inc.","16031","L","AS","Alaska Airlines Inc.",3,3,14747,1474702,30559,"SEA","Seattle, WA","US","United States",93,13594,1359401,33594,"MZT","Mazatlan, Mexico","MX","Mexico",148,6,634,1,2011,1,3,4,"F"
"49",16,16,565640,2304,2113,21063,0,1045,2421,2112,"AS",19930,"Alaska Airlines Inc.","16031","L","AS","Alaska Airlines Inc.",3,3,12892,1289203,32575,"LAX","Los Angeles, CA","US","United States",91,13594,1359403,33594,"MZT","Mazatlan, Mexico","MX","Mexico",148,6,617,1,2011,4,11,3,"F"
"50",0,6,756000,0,0,646891,0,1922,1517,1374,"PRQ",20149,"Florida West Airlines Inc.","16198","I","PRQ","Florida West Airlines Inc.",1,1,12051,1205101,32051,"GYE","Guayaquil, Ecuador","EC","Ecuador",337,13303,1330302,32467,"MIA","Miami, FL","US","United States",33,6,626,2,2011,1,1,4,"P"
"51",7,7,264864,1120,1082,0,0,2390,2241,2051,"CO",19704,"Continental Air Lines Inc.","10220","L","CO","Continental Air Lines Inc.",3,3,11618,1161802,31703,"EWR","Newark, NJ","US","United States",21,14832,1483202,34832,"SJD","San Jose del Cabo, Mexico","MX","Mexico",148,6,614,1,2011,3,8,5,"F"
"52",31,31,392026,1550,1136,0,0,580,3407,2861,"XE",20374,"ExpressJet Airlines Inc. (1)","16187","L","XE","ExpressJet Airlines Inc.",2,2,15317,1531701,35317,"TRC","Torreon, Mexico","MX","Mexico",148,12266,1226602,31453,"IAH","Houston, TX","US","United States",74,6,675,1,2011,2,6,2,"F"
"53",0,1,52860,170,154,0,763,3566,555,481,"DL",19790,"Delta Air Lines Inc.","10261","A","DL","Delta Air Lines Inc.",3,3,10752,1075202,30752,"BRU","Brussels, Belgium","BE","Belgium",409,10529,1052903,30529,"BDL","Hartford, CT","US","United States",11,6,622,1,2011,3,8,8,"F"
"54",0,2,60938,248,117,0,0,1139,0,0,"AM",19534,"Aeromexico","9148B","I","AM","Aeromexico",0,0,13514,1351402,33514,"MTY","Monterrey, Mexico","MX","Mexico",148,12889,1288902,32211,"LAS","Las Vegas, NV","US","United States",85,6,612,1,2011,1,1,3,"L"
"55",0,22,923956,0,0,554717,0,1276,0,0,"E7",20222,"Estafeta Carga Aereas","9148U","I","E7","Estafeta Carga Aereas",0,0,13303,1330303,32467,"MIA","Miami, FL","US","United States",33,13252,1325202,33252,"MEX","Mexico City, Mexico","MX","Mexico",148,6,619,2,2011,4,12,3,"G"
"56",236,221,3712800,14187,6153,27,0,356,22103,14014,"MQ",20398,"Envoy Air","06820","D","MQ","American Eagle Airlines Inc.",3,3,12953,1295301,31703,"LGA","New York, NY","US","United States",22,16271,1627101,36106,"YYZ","Toronto, Canada","CA","Canada",936,6,631,1,2011,1,3,1,"F"
"57",31,31,392026,1550,1259,0,0,898,4748,4109,"XE",20374,"ExpressJet Airlines Inc. (1)","16187","L","XE","ExpressJet Airlines Inc.",2,2,13799,1379901,33436,"OAX","Oaxaca, Mexico","MX","Mexico",148,12266,1226603,31453,"IAH","Houston, TX","US","United States",74,6,675,1,2011,3,7,2,"F"
"58",0,12,816000,0,0,625934,0,1152,2120,1846,"PT (1)",20400,"Capital Cargo International","16165","I","PT","Capital Cargo International",1,1,13303,1330302,32467,"MIA","Miami, FL","US","United States",33,14286,1428601,34286,"PTY","Panama City, Panama","PA","Panama",162,6,622,2,2011,1,3,3,"P"
"59",3,3,100539,486,452,0,0,1341,591,520,"F9",20436,"Frontier Airlines Inc.","16461","L","F9","Frontier Airlines Inc.",3,3,13198,1319801,33198,"MCI","Kansas City, MO","US","United States",64,11032,1103201,31032,"CUN","Cancun, Mexico","MX","Mexico",148,6,694,1,2011,4,12,3,"F"
"60",0,3,63678,0,0,1452,0,194,136,110,"AMQ",20201,"Ameristar Air Cargo","16057","I","AMQ","Ameristar Air Cargo",1,4,16091,1609102,31295,"YIP","Detroit, MI","US","United States",43,16078,1607802,36078,"YHM","Hamilton, Canada","CA","Canada",936,6,635,2,2011,3,8,1,"P"
"61",24,24,2565553,0,0,993982,25724,3799,12543,11994,"5X",19917,"United Parcel Service","16913","P","5X","United Parcel Service",3,3,10299,1029902,30299,"ANC","Anchorage, AK","US","United States",1,12277,1227701,31945,"ICN","Seoul, South Korea","KR","South Korea",778,6,626,2,2011,2,5,8,"G"
"62",59,59,796500,2950,2261,0,0,856,8300,7020,"OO",20304,"SkyWest Airlines Inc.","06700","D","OO","SkyWest Airlines Inc.",3,3,11292,1129202,30325,"DEN","Denver, CO","US","United States",82,16242,1624202,36242,"YXE","Saskatoon, Canada","CA","Canada",921,6,629,1,2011,3,9,2,"F"
"63",8,7,103250,448,108,0,0,623,1081,973,"OW",20414,"Executive Airlines","16194","L","OW","Executive Airlines",2,2,14210,1421001,34210,"POS","Port of Spain, Trinidad and Tobago","TT","Trinidad and Tobago",280,14843,1484302,34819,"SJU","San Juan, PR","US","United States",3,4,442,1,2011,1,2,2,"F"
"64",0,14,463170,1904,1548,0,0,1039,0,0,"WS",20229,"Westjet","9900Y","I","WS","Westjet",0,0,12889,1288903,32211,"LAS","Las Vegas, NV","US","United States",85,16257,1625702,30863,"YYC","Calgary, Canada","CA","Canada",916,6,612,1,2011,4,10,3,"F"
"65",60,58,4375520,10614,9860,652121,119184,3953,28425,26418,"UA",19977,"United Air Lines Inc.","10874","A","UA","United Air Lines Inc.",3,3,13930,1393001,30977,"ORD","Chicago, IL","US","United States",41,12972,1297202,30730,"LHR","London, United Kingdom","GB","United Kingdom",493,6,626,1,2011,2,6,8,"F"
"66",0,4,186000,0,0,39623,105,1854,918,859,"PFQ",20177,"Asia Pacific","16070","I","PFQ","Asia Pacific",1,1,12016,1201602,32016,"GUM","Guam, TT","US","United States",5,13162,1316203,33162,"MAJ","Majuro, Marshall Islands","MH","Marshall Islands",844,7,715,2,2011,4,11,4,"P"
"67",127,100,1235000,5000,3379,60,0,655,11322,9019,"MQ",20398,"Envoy Air","06820","D","MQ","American Eagle Airlines Inc.",3,3,13930,1393002,30977,"ORD","Chicago, IL","US","United States",41,16149,1614901,36149,"YOW","Ottawa, Canada","CA","Canada",936,6,675,1,2011,3,8,2,"F"
"68",0,1,35940,138,54,1994,622,1864,284,263,"UA",19977,"United Air Lines Inc.","10876","L","UA","United Air Lines Inc.",3,3,12264,1226402,30852,"IAD","Washington, DC","US","United States",38,13252,1325202,33252,"MEX","Mexico City, Mexico","MX","Mexico",148,6,694,1,2011,3,9,4,"F"
"69",0,22,1051587,4158,2761,0,0,1056,0,0,"C6",20364,"Canjet Airlines","7900Q","I","C6","Canjet Airlines",0,0,16271,1627101,36106,"YYZ","Toronto, Canada","CA","Canada",936,13204,1320401,31454,"MCO","Orlando, FL","US","United States",33,6,614,1,2011,1,1,3,"L"
"70",20,20,2115869,0,0,1406263,234174,1519,4564,4085,"5X",19917,"United Parcel Service","16912","L","5X","United Parcel Service",3,3,14730,1473002,33044,"SDF","Louisville, KY","US","United States",52,13252,1325201,33252,"MEX","Mexico City, Mexico","MX","Mexico",148,6,691,2,2011,1,2,4,"G"
"71",0,1,11118,50,46,0,0,460,122,95,"AX",20237,"Trans States Airlines","06904","D","AX","Trans States Airlines",1,5,16217,1621702,36083,"YUL","Montreal, Canada","CA","Canada",941,10821,1082103,30852,"BWI","Baltimore, MD","US","United States",35,6,675,1,2011,3,7,1,"F"
"72",3,3,116907,444,373,0,0,1544,754,613,"DL",19790,"Delta Air Lines Inc.","10260","L","DL","Delta Air Lines Inc.",3,3,12478,1247801,31703,"JFK","New York, NY","US","United States",22,13180,1318001,33180,"MBJ","Montego Bay, Jamaica","JM","Jamaica",243,6,694,1,2011,2,6,4,"F"
"73",2,2,210760,516,428,21870,2807,3861,954,876,"UA",19977,"United Air Lines Inc.","10874","A","UA","United Air Lines Inc.",3,3,12264,1226401,30852,"IAD","Washington, DC","US","United States",38,10920,1092001,30920,"CDG","Paris, France","FR","France",427,6,627,1,2011,2,5,8,"F"
"74",0,9,299233,1080,937,618,0,2176,0,0,"AC",19531,"Air Canada","9900A","I","AC","Air Canada",0,0,16271,1627101,36106,"YYZ","Toronto, Canada","CA","Canada",936,12892,1289201,32575,"LAX","Los Angeles, CA","US","United States",91,6,698,1,2011,1,3,5,"F"
"75",0,44,3283260,11315,4734,745349,0,5995,0,0,"KE",19550,"Korean Air Lines Co. Ltd.","9778A","I","KE","Korean Air Lines Co. Ltd.",0,0,12277,1227702,31945,"ICN","Seoul, South Korea","KR","South Korea",778,12892,1289202,32575,"LAX","Los Angeles, CA","US","United States",91,6,627,1,2011,3,9,12,"F"
"76",0,41,3739199,5886,4877,0,0,1289,0,0,"Y4",21351,"Concesionaria Vuela Compania De Aviacion SA de CV (Volaris)","71072","I","Y4","Concesionaria Vuela Compania De Aviacion SA de CV (Volaris)",0,0,11874,1187402,31874,"GDL","Guadalajara, Mexico","MX","Mexico",148,12889,1288903,32211,"LAS","Las Vegas, NV","US","United States",85,6,698,1,2011,3,7,3,"F"
"77",0,1,1802,9,5,0,0,3453,0,0,"12Q",21423,"Unijet","71089","I","12Q","Unijet",0,0,12900,1290002,30920,"LBG","Paris, France","FR","France",427,10540,1054002,30540,"BED","Bedford, MA","US","United States",13,7,770,1,2011,4,10,7,"F"
"78",0,4,366960,1132,1114,972,0,4104,0,0,"BY",19869,"Britannia Airways Ltd.","9493D","I","BY","Britannia Airways Ltd.",0,0,11928,1192802,31928,"GLA","Glasgow, United Kingdom","GB","United Kingdom",493,14761,1476103,34761,"SFB","Sanford, FL","US","United States",33,6,626,1,2011,3,8,9,"L"
"79",18,18,621000,2466,1732,0,0,717,2246,1895,"FL",20437,"AirTran Airways Corporation","16030","L","FL","AirTran Airways Corporation",3,3,13180,1318001,33180,"MBJ","Montego Bay, Jamaica","JM","Jamaica",243,13204,1320401,31454,"MCO","Orlando, FL","US","United States",33,6,612,1,2011,1,3,2,"F"
"80",58,12,150000,600,500,0,0,413,1141,794,"OH (1)",20417,"Comair Inc.","06186","D","OH","Comair Inc.",2,2,11193,1119301,33105,"CVG","Cincinnati, OH","US","United States",52,16271,1627101,36106,"YYZ","Toronto, Canada","CA","Canada",936,6,629,1,2011,1,3,1,"F"
"81",0,1,78730,209,203,1173,1575,4653,573,545,"DL",19790,"Delta Air Lines Inc.","10260","L","DL","Delta Air Lines Inc.",3,3,10397,1039703,30397,"ATL","Atlanta, GA","US","United States",34,11988,1198801,30966,"GRU","Sao Paulo, Brazil","BR","Brazil",316,6,626,1,2011,2,4,10,"F"
"82",29,29,1731648,6264,5527,0,1029,1958,7918,7069,"CO",19704,"Continental Air Lines Inc.","10220","L","CO","Continental Air Lines Inc.",3,3,11618,1161801,31703,"EWR","Newark, NJ","US","United States",21,10411,1041102,30411,"AUA","Aruba, Aruba","AW","Aruba",277,6,623,1,2011,2,4,4,"F"
