"","ItinID","Coupons","Year","Quarter","Origin","OriginAirportID","OriginAirportSeqID","OriginCityMarketID","OriginCountry","OriginStateFips","OriginState","OriginStateName","OriginWac","RoundTrip","OnLine","DollarCred","FarePerMile","RPCarrier","Passengers","ItinFare","BulkFare","Distance","DistanceGroup","MilesFlown","ItinGeoType"
"1",200118,4,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,0,1,0.0573,"AA",1,204,0,3558,8,3558,2
"2",200119,4,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,0,1,0.1105,"AA",1,360,0,3255,7,3255,2
"3",2001110,4,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,0,1,0,"AA",1,0,0,3960,8,3647,2
"4",2001111,3,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.0843,"AA",1,331,0,3926,8,3926,2
"5",2001112,1,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,0,1,1,0.4913,"AA",1,970,0,1974,4,1974,2
"6",2001113,1,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,0,1,1,0,"AA",1,0,0,1974,4,1974,2
"7",2001114,1,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,0,1,1,0.116,"AA",1,229,0,1974,4,1974,2
"8",2001115,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.0574,"AA",1,227,0,3948,8,3948,2
"9",2001116,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.0721,"AA",1,285,0,3948,8,3948,2
"10",2001117,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.0747,"AA",1,295,0,3948,8,3948,2
"11",2001118,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.0797,"AA",2,315,0,3948,8,3948,2
"12",2001119,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.0848,"AA",1,335,0,3948,8,3948,2
