"ITIN_ID","ROUNDTRIP","ITIN_YIELD","PASSENGERS","ITIN_FARE","BULKFARE","DISTANCE_FULL","YEAR","QUARTER"
200118,1,0.0573,1,204,0,3558,2001,1
200119,1,0.1105,1,360,0,3255,2001,1
2001110,1,0,1,0,0,3960,2001,1
2001111,1,0.0843,1,331,0,3926,2001,1
2001112,0,0.4913,1,970,0,1974,2001,1
2001113,0,0,1,0,0,1974,2001,1
2001114,0,0.116,1,229,0,1974,2001,1
2001115,1,0.0574,1,227,0,3948,2001,1
2001116,1,0.0721,1,285,0,3948,2001,1
2001117,1,0.0747,1,295,0,3948,2001,1
2001118,1,0.0797,2,315,0,3948,2001,1
2001119,1,0.0848,1,335,0,3948,2001,1
2001120,1,0.0904,1,357,0,3948,2001,1
2001121,1,0.0997,1,394,0,3948,2001,1
2001122,1,0.1005,2,397,0,3948,2001,1
2001123,1,0.1279,1,505,0,3948,2001,1
2001124,1,0.2102,1,830,0,3948,2001,1
2001125,1,0.1098,1,478,0,4350,2001,1
2001126,1,0,1,0,0,4310,2001,1
2001127,1,0,1,0,0,4321,2001,1
2001128,1,0.1359,1,600,0,4412,2001,1
2001129,1,0.0523,2,215,0,4105,2001,1
2001130,1,0.0628,1,258,0,4105,2001,1
2001131,1,0.0774,1,318,0,4105,2001,1
2001132,1,0.0911,1,374,0,4105,2001,1
2001133,1,0.0974,1,400,0,4105,2001,1
2001134,1,0.1222,1,502,0,4105,2001,1
2001135,1,0.1237,2,508,0,4105,2001,1
2001136,1,0.3524,1,1447,0,4105,2001,1
2001137,1,0.456,1,1872,0,4105,2001,1
2001138,0,0.124,1,512,0,4128,2001,1
2001141,1,0.046,1,196,0,4254,2001,1
2001142,0,0.519,1,1633,0,3146,2001,1
2001147,1,0.0525,1,208,0,3959,2001,1
2001148,1,0.1283,1,508,0,3959,2001,1
2001149,1,0.1751,1,817,0,4665,2001,1
2001152,1,0.0525,1,193,0,3675,2001,1
2001153,1,0.0899,1,248,0,2757,2001,1
2001154,1,0.1208,1,380,0,3145,2001,1
2001155,0,0.5589,1,1020,0,1825,2001,1
2001156,0,0.173,1,282,0,1630,2001,1
2001157,0,0.086,1,142,0,1650,2001,1
2001158,1,0.0845,1,279,0,3300,2001,1
2001159,1,0.0954,1,315,0,3300,2001,1
2001160,1,0.079,1,268,0,3419,2001,1
2001161,1,0.1245,1,425,0,3411,2001,1
2001162,1,0.1832,1,625,0,3411,2001,1
2001163,1,0.2421,1,826,0,3411,2001,1
2001164,1,0.2274,1,969,0,4260,2001,1
2001165,1,0.1252,1,235,0,1876,2001,1
2001166,0,0.4829,1,497,0,1029,2001,1
2001167,1,0.1421,1,240,0,1688,2001,1
2001168,0,0.1228,1,174,0,1416,2001,1
2001169,1,0.0713,1,196,0,2746,2001,1
2001170,0,0.9068,1,516,0,569,2001,1
2001171,0,1.1001,1,626,0,569,2001,1
2001172,0,1.1933,5,679,0,569,2001,1
2001173,0,1.2864,1,732,0,569,2001,1
2001174,0,0,1,0,0,569,2001,1
2001175,0,0.1054,1,60,0,569,2001,1
2001176,0,0.1195,1,68,0,569,2001,1
2001177,0,0.1353,1,77,0,569,2001,1
2001178,0,0.1511,1,86,0,569,2001,1
2001179,0,0.1616,1,92,0,569,2001,1
2001180,0,0.1775,15,101,0,569,2001,1
2001181,0,0.2021,1,115,0,569,2001,1
2001182,0,0.2179,1,124,0,569,2001,1
2001183,0,0.2319,1,132,0,569,2001,1
2001184,0,0.2355,1,134,0,569,2001,1
2001185,0,0.2442,1,139,0,569,2001,1
2001186,0,0.2565,5,146,0,569,2001,1
2001187,0,0.2583,4,147,0,569,2001,1
2001188,0,0.2776,1,158,0,569,2001,1
2001189,0,0.2829,2,161,0,569,2001,1
2001190,0,0.2934,1,167,0,569,2001,1
2001191,0,0.3339,1,190,0,569,2001,1
2001192,0,0.4692,2,267,0,569,2001,1
2001193,0,0.4956,1,282,0,569,2001,1
2001194,0,0.5149,5,293,0,569,2001,1
2001195,0,0.55,3,313,0,569,2001,1
2001196,0,0.8172,1,465,0,569,2001,1
2001197,0,0.8312,1,473,0,569,2001,1
2001198,0,0.847,1,482,0,569,2001,1
2001199,0,1.1528,1,656,0,569,2001,1
20011100,0,0.1862,1,106,0,569,2001,1
20011101,0,0.2847,1,162,0,569,2001,1
20011102,0,0.7486,1,426,0,569,2001,1
20011103,0,0.833,1,474,0,569,2001,1
20011104,0,1.1001,3,626,0,569,2001,1
20011105,0,1.1933,1,679,0,569,2001,1
20011106,1,0.2675,1,389,0,1454,2001,1
20011107,1,0.2792,1,406,0,1454,2001,1
20011108,1,0.8031,1,914,0,1138,2001,1
20011109,1,0,3,0,0,1138,2001,1
20011110,1,0.1001,1,114,0,1138,2001,1
20011111,1,0.1045,1,119,0,1138,2001,1
20011112,1,0.1089,1,124,0,1138,2001,1
20011113,1,0.1133,1,129,0,1138,2001,1
20011114,1,0.1151,2,131,0,1138,2001,1
20011115,1,0.1247,1,142,0,1138,2001,1
20011116,1,0.1265,1,144,0,1138,2001,1
20011117,1,0.1291,1,147,0,1138,2001,1
20011118,1,0.1318,1,150,0,1138,2001,1
20011119,1,0.1326,1,151,0,1138,2001,1
20011120,1,0.1344,1,153,0,1138,2001,1
20011121,1,0.1353,2,154,0,1138,2001,1
20011122,1,0.1397,5,159,0,1138,2001,1
20011123,1,0.1405,1,160,0,1138,2001,1
20011124,1,0.1414,3,161,0,1138,2001,1
20011125,1,0.1423,1,162,0,1138,2001,1
20011126,1,0.1441,2,164,0,1138,2001,1
20011127,1,0.1458,2,166,0,1138,2001,1
20011128,1,0.1467,3,167,0,1138,2001,1
20011129,1,0.1476,5,168,0,1138,2001,1
20011130,1,0.1485,1,169,0,1138,2001,1
20011131,1,0.1502,1,171,0,1138,2001,1
20011132,1,0.1528,1,174,0,1138,2001,1
20011133,1,0.1546,8,176,0,1138,2001,1
20011134,1,0.159,2,181,0,1138,2001,1
20011135,1,0.1608,4,183,0,1138,2001,1
20011136,1,0.1625,79,185,0,1138,2001,1
20011137,1,0.1652,1,188,0,1138,2001,1
20011138,1,0.166,1,189,0,1138,2001,1
20011139,1,0.1669,1,190,0,1138,2001,1
20011140,1,0.1731,2,197,0,1138,2001,1
20011141,1,0.1766,1,201,0,1138,2001,1
20011142,1,0.1783,2,203,0,1138,2001,1
20011143,1,0.1801,1,205,0,1138,2001,1
20011144,1,0.181,1,206,0,1138,2001,1
20011145,1,0.188,4,214,0,1138,2001,1
20011146,1,0.1942,1,221,0,1138,2001,1
20011147,1,0.1977,1,225,0,1138,2001,1
20011148,1,0.2003,3,228,0,1138,2001,1
20011149,1,0.21,3,239,0,1138,2001,1
20011150,1,0.2108,2,240,0,1138,2001,1
20011151,1,0.2188,6,249,0,1138,2001,1
20011152,1,0.2337,1,266,0,1138,2001,1
20011153,1,0.2381,1,271,0,1138,2001,1
20011154,1,0.2416,1,275,0,1138,2001,1
20011155,1,0.2451,15,279,0,1138,2001,1
20011156,1,0.2478,1,282,0,1138,2001,1
20011157,1,0.2574,4,293,0,1138,2001,1
20011158,1,0.2688,1,306,0,1138,2001,1
20011159,1,0.2803,1,319,0,1138,2001,1
20011160,1,0.2864,1,326,0,1138,2001,1
20011161,1,0.3189,1,363,0,1138,2001,1
20011162,1,0.3506,2,399,0,1138,2001,1
