"","ItinID","MktID","SeqNum","Coupons","Year","OriginAirportID","OriginAirportSeqID","OriginCityMarketID","Quarter","Origin","OriginCountry","OriginStateFips","OriginState","OriginStateName","OriginWac","DestAirportID","DestAirportSeqID","DestCityMarketID","Dest","DestCountry","DestStateFips","DestState","DestStateName","DestWac","Break","CouponType","TkCarrier","OpCarrier","RPCarrier","Passengers","FareClass","Distance","DistanceGroup","Gateway","ItinGeoType","CouponGeoType"
"45",2001126,2001148,3,4,2001,10785,1078501,30785,1,"BTV","US","50","VT","Vermont",16,10721,1072101,30721,"BOS","US","25","MA","Massachusetts",13,NA,"A","AA","MQ","AA",1,"X",181,1,0,2,2
"46",2001126,2001148,4,4,2001,10721,1072101,30721,1,"BOS","US","25","MA","Massachusetts",13,10140,1014001,30140,"ABQ","US","35","NM","New Mexico",86,"X","A","AA","AA","AA",1,"X",1974,4,0,2,2
"47",2001127,2001149,1,5,2001,10140,1014001,30140,1,"ABQ","US","35","NM","New Mexico",86,10721,1072101,30721,"BOS","US","25","MA","Massachusetts",13,NA,"A","AA","AA","AA",1,"X",1974,4,0,2,2
"48",2001127,2001149,2,5,2001,10721,1072101,30721,1,"BOS","US","25","MA","Massachusetts",13,10785,1078501,30785,"BTV","US","50","VT","Vermont",16,"X","A","US","US","AA",1,"X",181,1,0,2,2
"49",2001127,2001150,3,5,2001,10785,1078501,30785,1,"BTV","US","50","VT","Vermont",16,10721,1072101,30721,"BOS","US","25","MA","Massachusetts",13,NA,"A","AA","MQ","AA",1,"X",181,1,0,2,2
"50",2001127,2001150,4,5,2001,10721,1072101,30721,1,"BOS","US","25","MA","Massachusetts",13,13930,1393001,30977,"ORD","US","17","IL","Illinois",41,NA,"A","AA","AA","AA",1,"X",867,2,0,2,2
"51",2001127,2001150,5,5,2001,13930,1393001,30977,1,"ORD","US","17","IL","Illinois",41,10140,1014001,30140,"ABQ","US","35","NM","New Mexico",86,"X","A","AA","AA","AA",1,"X",1118,3,0,2,2
"52",2001128,2001151,1,6,2001,10140,1014001,30140,1,"ABQ","US","35","NM","New Mexico",86,10721,1072101,30721,"BOS","US","25","MA","Massachusetts",13,NA,"A","AA","AA","AA",1,"X",1974,4,0,2,2
"53",2001128,2001151,2,6,2001,10721,1072101,30721,1,"BOS","US","25","MA","Massachusetts",13,10785,1078501,30785,"BTV","US","50","VT","Vermont",16,"X","A","AA","MQ","AA",1,"X",181,1,0,2,2
"54",2001128,2001152,3,6,2001,10785,1078501,30785,1,"BTV","US","50","VT","Vermont",16,10721,1072101,30721,"BOS","US","25","MA","Massachusetts",13,NA,"A","AA","MQ","AA",1,"X",181,1,0,2,2
"55",2001128,2001152,4,6,2001,10721,1072101,30721,1,"BOS","US","25","MA","Massachusetts",13,14100,1410001,34100,"PHL","US","42","PA","Pennsylvania",23,NA,"A","AA","MQ","AA",1,"X",280,1,0,2,2
"56",2001128,2001152,5,6,2001,14100,1410001,34100,1,"PHL","US","42","PA","Pennsylvania",23,13930,1393001,30977,"ORD","US","17","IL","Illinois",41,NA,"A","AA","AA","AA",1,"X",678,2,0,2,2
"57",2001128,2001152,6,6,2001,13930,1393001,30977,1,"ORD","US","17","IL","Illinois",41,10140,1014001,30140,"ABQ","US","35","NM","New Mexico",86,"X","A","AA","AA","AA",1,"X",1118,3,0,2,2
