Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,Reporting_Airline,DOT_ID_Reporting_Airline,IATA_CODE_Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime,Div2WheelsOff,Div2TailNum,Div3Airport,Div3AirportID,Div3AirportSeqID,Div3WheelsOn,Div3TotalGTime,Div3LongestGTime,Div3WheelsOff,Div3TailNum,Div4Airport,Div4AirportID,Div4AirportSeqID,Div4WheelsOn,Div4TotalGTime,Div4LongestGTime,Div4WheelsOff,Div4TailNum,Div5Airport,Div5AirportID,Div5AirportSeqID,Div5WheelsOn,Div5TotalGTime,Div5LongestGTime,Div5WheelsOff,Div5TailNum,V110
2011,1,1,26,3,2011-01-26,WN,19393,WN,N658SW,1321,14771,1477101,32457,SFO,"San Francisco, CA",CA,6,California,91,12892,1289201,32575,LAX,"Los Angeles, CA",CA,6,California,91,1125,1123,-2,0,0,-1,1100-1159,12,1135,1229,6,1245,1235,-10,0,0,-1,1200-1259,0,"",0,80,72,54,1,337,2,,,,,,,,,0,,,,,"",,,,,,,"","",,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,24,1,2011-01-24,EV,20366,EV,N877AS,7147,14685,1468501,34685,SAV,"Savannah, GA",GA,13,Georgia,34,12264,1226401,30852,IAD,"Washington, DC",VA,51,Virginia,38,1004,1221,137,137,1,9,1000-1059,7,1228,1345,4,1141,1349,128,128,1,8,1100-1159,0,"",0,97,88,77,1,515,3,128,0,0,0,0,,,,0,,,,,"",,,,,,,"","",,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,13,4,2011-01-13,WN,19393,WN,N494WN,1194,12953,1295301,31703,LGA,"New York, NY",NY,36,New York,22,13232,1323201,30977,MDW,"Chicago, IL",IL,17,Illinois,41,1925,1930,5,5,0,0,1900-1959,51,2021,2127,7,2105,2134,29,29,1,1,2100-2159,0,"",0,160,184,126,1,725,3,0,0,29,0,0,,,,0,,,,,"",,,,,,,"","",,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,6,4,2011-01-06,DL,19790,DL,N302NB,1864,11884,1188401,31884,GEG,"Spokane, WA",WA,53,Washington,93,13487,1348701,31650,MSP,"Minneapolis, MN",MN,27,Minnesota,63,720,720,0,0,0,0,0700-0759,15,735,1151,8,1218,1159,-19,0,0,-2,1200-1259,0,"",0,178,159,136,1,1175,5,,,,,,,,,0,,,,,"",,,,,,,"","",,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,14,5,2011-01-14,DL,19790,DL,N3752,2157,14869,1486902,34614,SLC,"Salt Lake City, UT",UT,49,Utah,87,14747,1474702,30559,SEA,"Seattle, WA",WA,53,Washington,93,1105,1106,1,1,0,0,1100-1159,17,1123,1218,16,1220,1234,14,14,0,0,1200-1259,0,"",0,135,148,115,1,689,3,,,,,,,,,0,,,,,"",,,,,,,"","",,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,18,2,2011-01-18,WN,19393,WN,N905WN,3200,15304,1530401,33195,TPA,"Tampa, FL",FL,12,Florida,33,11697,1169702,32467,FLL,"Fort Lauderdale, FL",FL,12,Florida,33,820,818,-2,0,0,-1,0800-0859,11,829,915,5,920,920,0,0,0,0,0900-0959,0,"",0,60,62,46,1,197,1,,,,,,,,,0,,,,,"",,,,,,,"","",,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,4,2,2011-01-04,AA,19805,AA,N5ELAA,1873,13204,1320401,31454,MCO,"Orlando, FL",FL,12,Florida,33,13303,1330302,32467,MIA,"Miami, FL",FL,12,Florida,33,2020,2017,-3,0,0,-1,2000-2059,13,2030,2110,5,2125,2115,-10,0,0,-1,2100-2159,0,"",0,65,58,40,1,193,1,,,,,,,,,0,,,,,"",,,,,,,"","",,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,15,6,2011-01-15,DL,19790,DL,N344NB,486,11433,1143301,31295,DTW,"Detroit, MI",MI,26,Michigan,43,13244,1324401,33244,MEM,"Memphis, TN",TN,47,Tennessee,54,710,706,-4,0,0,-1,0700-0759,32,738,810,6,830,816,-14,0,0,-1,0800-0859,0,"",0,140,130,92,1,610,3,,,,,,,,,0,,,,,"",,,,,,,"","",,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,10,1,2011-01-10,WN,19393,WN,N930WN,799,11259,1125902,30194,DAL,"Dallas, TX",TX,48,Texas,74,10423,1042302,30423,AUS,"Austin, TX",TX,48,Texas,74,1020,1022,2,2,0,0,1000-1059,12,1034,1107,3,1110,1110,0,0,0,0,1100-1159,0,"",0,50,48,33,1,189,1,,,,,,,,,0,,,,,"",,,,,,,"","",,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,11,2,2011-01-11,AA,19805,AA,N537AA,1982,15016,1501602,31123,STL,"St. Louis, MO",MO,29,Missouri,64,13930,1393001,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1835,,,,,,1800-1859,,,,,1955,,,,,,1900-1959,1,B,0,80,,,1,258,2,,,,,,,,,0,,,,,"",,,,,,,"","",,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,
