"","PASSENGERS","FREIGHT","MAIL","DISTANCE","UNIQUE_CARRIER","AIRLINE_ID","UNIQUE_CARRIER_NAME","UNIQUE_CARRIER_ENTITY","REGION","CARRIER","CARRIER_NAME","CARRIER_GROUP","CARRIER_GROUP_NEW","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","ORIGIN_STATE_FIPS","ORIGIN_STATE_NM","ORIGIN_WAC","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","DEST_STATE_FIPS","DEST_STATE_NM","DEST_WAC","YEAR","QUARTER","MONTH","DISTANCE_GROUP","CLASS"
"89",181,0,0,610,"OH (1)",20417,"Comair Inc.","06186","D","OH","Comair Inc.",2,2,11433,1143302,31295,"DTW","Detroit, MI","MI","26","Michigan",43,13244,1324402,33244,"MEM","Memphis, TN","TN","47","Tennessee",54,2011,4,12,2,"F"
"90",1,0,0,689,"AA",19805,"American Airlines Inc.","0A050","D","AA","American Airlines Inc.",3,3,13256,1325601,33256,"MFE","Mission/McAllen/Edinburg, TX","TX","48","Texas",74,12992,1299202,32600,"LIT","Little Rock, AR","AR","05","Arkansas",71,2011,2,6,2,"F"
"91",18635,0,1,1121,"B6",20409,"JetBlue Airways","06673","D","B6","JetBlue Airways",3,3,13204,1320401,31454,"MCO","Orlando, FL","FL","12","Florida",33,10721,1072101,30721,"BOS","Boston, MA","MA","25","Massachusetts",13,2011,1,2,3,"F"
"92",82,0,0,491,"XJ",20170,"Mesaba Airlines","06692","D","XJ","Mesaba Airlines",2,2,11721,1172101,31721,"FNT","Flint, MI","MI","26","Michigan",43,13487,1348701,31650,"MSP","Minneapolis, MN","MN","27","Minnesota",63,2011,1,3,1,"F"
"93",1,0,0,24,"V8",20346,"Iliamna Air Taxi","06983","D","V8","Iliamna Air Taxi",1,5,13715,1371501,33715,"NNL","Nondalton, AK","AK","02","Alaska",1,14268,1426801,34268,"PTA","Port Alsworth, AK","AK","02","Alaska",1,2011,1,3,1,"F"
"94",97,3891,0,999,"WN",19393,"Southwest Airlines Co.","06725","D","WN","Southwest Airlines Co.",3,3,11259,1125903,30194,"DAL","Dallas, TX","TX","48","Texas",74,14869,1486903,34614,"SLC","Salt Lake City, UT","UT","49","Utah",87,2011,4,11,2,"F"
"95",1532,0,0,726,"XJ",20170,"Mesaba Airlines","06692","D","XJ","Mesaba Airlines",2,2,13487,1348702,31650,"MSP","Minneapolis, MN","MN","27","Minnesota",63,14122,1412202,30198,"PIT","Pittsburgh, PA","PA","42","Pennsylvania",23,2011,3,9,2,"F"
"96",51,0,0,153,"GV",20455,"Grant Aviation","06985","D","GV","Grant Aviation",1,5,12195,1219502,32195,"HPB","Hooper Bay, AK","AK","02","Alaska",1,10551,1055102,30113,"BET","Bethel, AK","AK","02","Alaska",1,2011,3,7,1,"F"
"97",25018,107700,0,679,"AS",19930,"Alaska Airlines Inc.","06031","D","AS","Alaska Airlines Inc.",3,3,14771,1477101,32457,"SFO","San Francisco, CA","CA","06","California",91,14747,1474703,30559,"SEA","Seattle, WA","WA","53","Washington",93,2011,3,9,2,"F"
"98",4,0,0,34,"H6",20336,"Hageland Aviation Service","06984","D","H6","Hageland Aviation Service",1,5,12087,1208702,32087,"HCR","Holy Cross, AK","AK","02","Alaska",1,10313,1031302,30313,"ANV","Anvik, AK","AK","02","Alaska",1,2011,4,11,1,"F"
"99",7,1577,0,75,"8E",20331,"Bering Air Inc.","06992","D","8E","Bering Air Inc.",1,5,13970,1397001,33970,"OTZ","Kotzebue, AK","AK","02","Alaska",1,10640,1064001,30640,"BKC","Buckland, AK","AK","02","Alaska",1,2011,1,1,1,"L"
"100",43,0,0,119,"G4",20368,"Allegiant Air","06035","D","G4","Allegiant Air",2,2,11638,1163803,31638,"FAT","Fresno, CA","CA","06","California",91,13476,1347602,34922,"MRY","Monterey, CA","CA","06","California",91,2011,4,12,1,"L"
