"","PASSENGERS","FREIGHT","MAIL","DISTANCE","UNIQUE_CARRIER","AIRLINE_ID","UNIQUE_CARRIER_NAME","UNIQUE_CARRIER_ENTITY","REGION","CARRIER","CARRIER_NAME","CARRIER_GROUP","CARRIER_GROUP_NEW","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","ORIGIN_STATE_FIPS","ORIGIN_STATE_NM","ORIGIN_WAC","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","DEST_STATE_FIPS","DEST_STATE_NM","DEST_WAC","YEAR","QUARTER","MONTH","DISTANCE_GROUP","CLASS"
"51",16,0,0,1087,"WN",19393,"Southwest Airlines Co.","06725","D","WN","Southwest Airlines Co.",3,3,10994,1099402,30994,"CHS","Charleston, SC","SC","45","South Carolina",37,13487,1348702,31650,"MSP","Minneapolis, MN","MN","27","Minnesota",63,2011,4,10,3,"F"
"52",619,0,0,323,"9E",20363,"Endeavor Air Inc.","07024","D","9E","Pinnacle Airlines Inc.",2,2,11278,1127802,30852,"DCA","Washington, DC","VA","51","Virginia",38,11066,1106602,31066,"CMH","Columbus, OH","OH","39","Ohio",44,2011,3,8,1,"F"
"53",3898,2145,0,321,"WN",19393,"Southwest Airlines Co.","06725","D","WN","Southwest Airlines Co.",3,3,15376,1537602,30436,"TUS","Tucson, AZ","AZ","04","Arizona",81,10140,1014002,30140,"ABQ","Albuquerque, NM","NM","35","New Mexico",86,2011,4,10,1,"F"
"54",294,513,0,2393,"WN",19393,"Southwest Airlines Co.","06725","D","WN","Southwest Airlines Co.",3,3,15304,1530402,33195,"TPA","Tampa, FL","FL","12","Florida",33,14771,1477101,32457,"SFO","San Francisco, CA","CA","06","California",91,2011,3,8,5,"F"
"55",15,30,0,52,"H6",20336,"Hageland Aviation Service","06984","D","H6","Hageland Aviation Service",1,5,15721,1572102,35721,"WBB","Stebbins, AK","AK","02","Alaska",1,12769,1276902,32769,"KOT","Kotlik, AK","AK","02","Alaska",1,2011,3,9,1,"F"
"56",131,0,0,318,"9E",20363,"Endeavor Air Inc.","07024","D","9E","Pinnacle Airlines Inc.",2,2,11193,1119302,33105,"CVG","Cincinnati, OH","KY","21","Kentucky",52,13342,1334204,33342,"MKE","Milwaukee, WI","WI","55","Wisconsin",45,2011,4,11,1,"F"
"57",4164,3231,0,156,"OH",20397,"PSA Airlines Inc.","07028","D","16","PSA Airlines Inc.",2,2,11057,1105702,31057,"CLT","Charlotte, NC","NC","37","North Carolina",36,13577,1357701,31135,"MYR","Myrtle Beach, SC","SC","45","South Carolina",37,2011,2,6,1,"F"
"58",12184,0,0,679,"VX",21171,"Virgin America","01006","D","VX","Virgin America",2,2,14747,1474703,30559,"SEA","Seattle, WA","WA","53","Washington",93,14771,1477101,32457,"SFO","San Francisco, CA","CA","06","California",91,2011,4,10,2,"F"
"59",15,0,0,1522,"WN",19393,"Southwest Airlines Co.","06725","D","WN","Southwest Airlines Co.",3,3,13487,1348701,31650,"MSP","Minneapolis, MN","MN","27","Minnesota",63,14908,1490802,32575,"SNA","Santa Ana, CA","CA","06","California",91,2011,2,4,4,"F"
"60",96,0,0,1599,"UA",19977,"United Air Lines Inc.","0A875","D","UA","United Air Lines Inc.",3,3,13495,1349502,33495,"MSY","New Orleans, LA","LA","22","Louisiana",72,14679,1467903,33570,"SAN","San Diego, CA","CA","06","California",91,2011,3,9,4,"F"
